2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 80000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 81000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 82000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 83000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 84000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 85000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 86000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 87000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 88000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 89000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 90000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 91000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 92000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 93000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 94000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 95000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 96000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 97000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 98000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 99000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 100000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 101000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 102000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 103000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 104000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 105000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 106000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 107000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 108000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 109000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 110000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 111000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 112000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 113000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 114000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 115000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 116000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 117000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 118000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 119000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 120000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 121000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 122000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 123000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 124000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 125000 documents
2025-09-16 11:04:13 | INFO     | main | export_to_gcs:58 | Exported 126000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 127000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 128000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 129000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 130000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 131000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 132000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 133000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 134000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 135000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 136000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 137000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 138000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 139000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 140000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 141000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 142000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 143000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 144000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 145000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 146000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 147000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 148000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 149000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 150000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 151000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 152000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 153000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 154000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 155000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 156000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 157000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 158000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 159000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 160000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 161000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 162000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 163000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 164000 documents
2025-09-16 11:04:14 | INFO     | main | export_to_gcs:58 | Exported 165000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 166000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 167000 documents
